ds,y
2018-03-13 23:59:59,9149.626682
2018-03-14 23:59:59,8205.017694
2018-03-15 23:59:59,8261.847228
2018-03-16 23:59:59,8275.0
2018-03-17 23:59:59,7879.191714
2018-03-18 23:59:59,8197.220466
2018-03-19 23:59:59,8595.824695
2018-03-20 23:59:59,8902.256878
2018-03-21 23:59:59,8899.509257
2018-03-22 23:59:59,8711.271042
2018-03-23 23:59:59,8915.789665
2018-03-24 23:59:59,8531.34
2018-03-25 23:59:59,8447.770939
2018-03-26 23:59:59,8142.19
2018-03-27 23:59:59,7793.051625
2018-03-28 23:59:59,7933.813283
2018-03-29 23:59:59,7079.99
2018-03-30 23:59:59,6848.139463
2018-03-31 23:59:59,6927.728197
2018-04-01 23:59:59,6815.697789
2018-04-02 23:59:59,7046.429366
2018-04-03 23:59:59,7423.769307
2018-04-04 23:59:59,6793.774277
2018-04-05 23:59:59,6779.343198
2018-04-06 23:59:59,6619.19
2018-04-07 23:59:59,6894.930827
2018-04-08 23:59:59,7022.677389
2018-04-09 23:59:59,6775.957991
2018-04-10 23:59:59,6826.017224
2018-04-11 23:59:59,6941.683907
2018-04-12 23:59:59,7917.796086
2018-04-13 23:59:59,7881.307407
2018-04-14 23:59:59,8001.43687
2018-04-15 23:59:59,8355.123692
2018-04-16 23:59:59,8049.75
2018-04-17 23:59:59,7892.1
2018-04-18 23:59:59,8161.446136
2018-04-19 23:59:59,8273.164653
2018-04-20 23:59:59,8865.467145
2018-04-21 23:59:59,8917.926372
2018-04-22 23:59:59,8794.840383
2018-04-23 23:59:59,8934.736707
2018-04-24 23:59:59,9649.005549
2018-04-25 23:59:59,8864.452339
2018-04-26 23:59:59,9280.0
2018-04-27 23:59:59,8921.54644
2018-04-28 23:59:59,9346.45447
2018-04-29 23:59:59,9389.69
2018-04-30 23:59:59,9241.367911
2018-05-01 23:59:59,9070.332144
2018-05-02 23:59:59,9220.130009
2018-05-03 23:59:59,9730.56991
2018-05-04 23:59:59,9691.780288
2018-05-05 23:59:59,9804.297867
2018-05-06 23:59:59,9600.0
2018-05-07 23:59:59,9361.614965
2018-05-08 23:59:59,9178.292435
2018-05-09 23:59:59,9304.027178
2018-05-10 23:59:59,9012.613281
2018-05-11 23:59:59,8399.74
2018-05-12 23:59:59,8466.944483
2018-05-13 23:59:59,8688.888029
2018-05-14 23:59:59,8674.606343
2018-05-15 23:59:59,8474.775165
2018-05-16 23:59:59,8342.784851
2018-05-17 23:59:59,8062.433181
2018-05-18 23:59:59,8242.034292
2018-05-19 23:59:59,8241.15
2018-05-20 23:59:59,8519.419816
2018-05-21 23:59:59,8397.837734
2018-05-22 23:59:59,7985.357822
2018-05-23 23:59:59,7502.969691
2018-05-24 23:59:59,7584.462499
2018-05-25 23:59:59,7463.81641
2018-05-26 23:59:59,7335.99
2018-05-27 23:59:59,7346.64
2018-05-28 23:59:59,7108.637964
2018-05-29 23:59:59,7460.0
2018-05-30 23:59:59,7378.288276
2018-05-31 23:59:59,7487.363738
2018-06-01 23:59:59,7516.065054
2018-06-02 23:59:59,7637.827337
2018-06-03 23:59:59,7707.476544
2018-06-04 23:59:59,7490.74
2018-06-05 23:59:59,7613.824074
2018-06-06 23:59:59,7655.21824
2018-06-07 23:59:59,7686.557641
2018-06-08 23:59:59,7618.11
2018-06-09 23:59:59,7495.885219
2018-06-10 23:59:59,6765.096481
2018-06-11 23:59:59,6880.15
2018-06-12 23:59:59,6553.106353
2018-06-13 23:59:59,6303.972508
2018-06-14 23:59:59,6640.780498
2018-06-15 23:59:59,6391.056146
2018-06-16 23:59:59,6488.11
2018-06-17 23:59:59,6448.545828
2018-06-18 23:59:59,6709.964404
2018-06-19 23:59:59,6741.171615
2018-06-20 23:59:59,6757.527055
2018-06-21 23:59:59,6719.01
2018-06-22 23:59:59,6059.662975
2018-06-23 23:59:59,6177.21
2018-06-24 23:59:59,6150.979112
2018-06-25 23:59:59,6246.482688
2018-06-26 23:59:59,6074.94
2018-06-27 23:59:59,6133.816145
2018-06-28 23:59:59,5853.423402
2018-06-29 23:59:59,6202.50605
2018-06-30 23:59:59,6385.71
2018-07-01 23:59:59,6348.52
2018-07-02 23:59:59,6610.99
2018-07-03 23:59:59,6502.566954
2018-07-04 23:59:59,6584.71802
2018-07-05 23:59:59,6532.95
2018-07-06 23:59:59,6599.399296
2018-07-07 23:59:59,6755.123658
2018-07-08 23:59:59,6703.506864
2018-07-09 23:59:59,6659.95
2018-07-10 23:59:59,6303.642911
2018-07-11 23:59:59,6380.517065
2018-07-12 23:59:59,6244.248233
2018-07-13 23:59:59,6216.371825
2018-07-14 23:59:59,6246.191146
2018-07-15 23:59:59,6349.3
2018-07-16 23:59:59,6728.264562
2018-07-17 23:59:59,7314.775934
2018-07-18 23:59:59,7376.209545
2018-07-19 23:59:59,7470.868106
